date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2017-05-09,87.73,19.245,-7.738546740611067,2.7006703347454124,-1.5260785896124978,-0.9683558649780993,-2.6487557001763764
2017-05-10,87.62,19.355,-7.83135674310523,2.781531635978824,-1.689647901219814,-0.812674457466242,-2.3188731947308527
2017-05-11,87.335,19.265,-8.072362101176946,2.715406710463515,-1.82384339794153,-0.7019879862828183,-2.4178975132891183
2017-05-12,86.32,19.295,-8.937113967575018,2.7374826139535626,-1.9185837312243637,-0.6787751864036683,-3.006249173530499
2017-05-15,87.475,19.365,-7.953875383677186,2.7888598615792812,-2.009981285387191,-0.6433136204397665,-1.7050056338955526
2017-05-16,87.045,19.465,-8.318404264772756,2.861934679052329,-2.0253060978999886,-0.7482720759561079,-1.7738384315405196
2017-05-17,83.995,18.965,-10.956897609476002,2.4927375656835786,-2.0418316760185755,-0.8069027551950816,-5.0602443326667546
2017-05-18,83.415,18.785,-11.469471106862203,2.3574390568333943,-2.146977589798005,-0.766516189439291,-5.64158609308707
2017-05-19,84.915,18.995,-10.151065492369712,2.5151624035141533,-2.2226014825187064,-0.7855817317293465,-3.775280073814496
2017-05-22,85.175,19.105,-9.924912302650446,2.5970848825385957,-2.2738083428367766,-0.8070948929143023,-3.2125441367646146
2017-05-23,86.215,18.955,-9.027150748003042,2.4852547361604027,-2.3112506737487433,-0.8440303559944032,-2.439073708620652
2017-05-24,87.015,19.005,-8.343903672443666,2.5226294797112883,-2.31372866519683,-0.924940281289699,-1.5822832522753951
2017-05-25,89.265,18.375,-6.455430260937422,2.044355726415538,-2.2693302688443273,-1.0897531549263886,-0.7263587757710206
2017-05-26,89.325,18.475,-6.405725047630573,2.1213569707768083,-2.162497416121835,-1.3716552127834032,-0.4466408668702788
2017-05-30,89.205,18.945,-6.505168895133261,2.477767957914333,-2.066225486699329,-1.6203291410461238,0.23478755068240775
2017-05-31,90.025,18.765,-5.828285297625871,2.3423259321583894,-1.9315610697881507,-1.9534213790958255,0.6494816647823409
2017-06-01,90.62,18.945,-5.340980818489045,2.477767957914333,-1.800243338006093,-2.273865706416126,1.3934701472873203
2017-06-02,90.905,18.975,-5.108698269140325,2.500216450646998,-1.6279334443236158,-2.6631683914540076,1.6246561003700162
2017-06-05,92.215,18.815,-4.050296061231851,2.3800786006487766,-1.4654763201727277,-3.0203342229735877,2.4579869911423606
2017-06-06,90.625,18.265,-5.3368993938461795,1.959168849893913,-1.3347155583388313,-3.267042817650056,0.5450765691700767
2017-06-07,90.335,18.235,-5.57399504848612,1.9358470181539136,-1.3028686132010656,-3.333581502368304,0.28174077379379137
2017-06-08,92.32,18.295,-3.966114222177755,1.9824524072757916,-1.2306724099284467,-3.4997011048052498,1.973336364258044
2017-06-09,94.245,17.795,-2.43951939409592,1.5893143561291083,-1.2476704853761824,-3.4267387701717076,2.9701599902027267
2017-06-12,92.755,17.765,-3.6183778563124425,1.5653760302354554,-1.408972025398111,-3.0209329118088695,1.6081260913269313
2017-06-13,92.565,17.735,-3.770061682122692,1.5413972451802056,-1.5093904965375784,-2.771678930817608,1.3281876019591219
2017-06-14,91.855,17.395,-4.339648971386872,1.2667669159013868,-1.6645060065973931,-2.3975751567483314,0.1664673258381728
2017-06-15,92.185,17.265,-4.074365621396696,1.1603401168828604,-1.6677147807674144,-2.3906845084318276,0.25143525067806705
2017-06-16,92.965,17.355,-3.451088381684294,1.2341051588640186,-1.6758015168163463,-2.3749119931917573,0.9919389086426635
2017-06-19,93.175,17.685,-3.2841763736890215,1.5013423217729027,-1.7893578710900506,-2.1016355830668765,1.5038979100428098
2017-06-20,92.005,17.825,-4.218947681275503,1.6132123591638694,-1.9003585792049114,-1.8243845824349498,0.6711188479759014
2017-06-21,90.345,17.705,-5.565806673348146,1.5173778639683555,-2.045090866697635,-1.461651249335586,-1.0009798130817102
2017-06-22,90.295,17.705,-5.606757616002002,1.5173778639683555,-2.1184727761169375,-1.2861947081538376,-1.106039211948734
2017-06-23,90.855,17.795,-5.1493968732263316,1.5893143561291083,-2.24700579949417,-0.9874678141679221,-0.5907304836169605
2017-06-26,90.315,18.165,-5.590374518449706,1.8812798568594737,-2.4098924608573826,-0.6059122833866638,-0.45078009125454044
2017-06-27,89.88,17.785,-5.947528237578804,1.581339401199014,-2.4789802511216736,-0.4451723459216313,-1.5822467457642437
2017-06-28,90.715,18.025,-5.26347223128402,1.7715118474222986,-2.4662711494806637,-0.46455042796701146,-0.4298932430562014
2017-06-29,90.67,17.565,-5.300176701992547,1.404746582175802,-2.506959234411405,-0.3362038101372395,-1.442330475661821
2017-06-30,91.755,17.475,-4.420226051322568,1.331865714130673,-2.435064741081764,-0.4947902117692925,-0.6822565992179895
2017-07-03,91.96,17.565,-4.255137393534145,1.404746582175802,-2.406284141159671,-0.5485557630810504,-0.32636220741521205
2017-07-05,92.775,17.665,-3.602429215939999,1.4852886346884946,-2.3899275321427846,-0.5798402125979656,0.5271431978787662
2017-07-06,91.815,17.195,-4.371869271747425,1.102700971364321,-2.4207944977138958,-0.526688711282125,-1.1757681163627833
2017-07-07,93.085,17.345,-3.3556639802712884,1.2259279572272348,-2.328167331232295,-0.7603657355739694,0.2588671757634712
2017-07-10,92.725,17.865,-3.6423072659196594,1.645013873061062,-2.3609919786563447,-0.732229387851643,0.9737866810075575
2017-07-11,92.725,17.945,-3.6423072659196594,1.708403844798242,-2.423867153106121,-0.6411773270194782,1.1398140247464852
2017-07-12,93.155,18.035,-3.300056539245743,1.7793806465408544,-2.491640988010336,-0.5370812382327613,1.6706024511805433
2017-07-13,93.125,18.075,-3.323883181363126,1.8108122726832072,-2.5964789276145437,-0.35888117175146383,1.736733898276086
2017-07-14,93.505,18.415,-3.022644628120536,2.075206392438852,-2.7126312068039162,-0.15850132996862876,2.7651263225366978
2017-07-17,93.475,18.46,-3.0463820700573097,2.1098333926852533,-2.85523906536434,0.09005091612202754,2.887645738025779
2017-07-18,93.395,18.395,-3.109719179654293,2.0597894450407055,-2.9721603488126225,0.2948973839942879,2.7174079518041605
2017-07-19,95.005,18.695,-1.8453806810246505,2.289302853287419,-3.0558414633095476,0.44667996933942444,4.7036859307844745
2017-07-20,94.875,18.955,-1.9466719494283489,2.4852547361604027,-2.9721292873941367,0.3574756320446003,5.082350806504372
2017-07-21,95.305,19.155,-1.6121595927113255,2.6341665671275925,-2.7989914338131263,0.10490803582135055,5.655942028094385
2017-07-24,95.94,19.245,-1.1209203602251745,2.7006703347454124,-2.5528152869146146,-0.28439012364234345,6.057782278872067
2017-07-25,97.235,19.415,-0.1290996652989503,2.8254443182801685,-2.2073384355619403,-0.8458230794340754,6.953435255415045
2017-07-26,96.105,19.255,-0.9938076850161377,2.708040435922612,-1.7340534082620893,-1.6397141402713276,5.341793202878349
2017-07-27,97.195,19.205,-0.15953685378405733,2.6711515840246114,-1.3624259777536363,-2.2449201132281638,5.724629568037011
2017-07-28,98.275,19.175,0.6579031254086741,2.6489721457705513,-0.9118388807504899,-2.9758286618037597,6.0491675837510765
2017-07-31,96.415,19.105,-0.7555790136588487,2.5970848825385957,-0.46630149974439206,-3.699378634232372,4.154824196264759
2017-08-01,96.43,19.155,-0.744071256485531,2.6341665671275925,-0.0464773719816208,-4.38971002972089,3.768067912637297
2017-08-02,96.175,19.105,-0.9399470141901007,2.5970848825385957,0.38876639956943715,-5.058371856260667,3.108765502909822
2017-08-03,96.815,19.345,-0.4493164805732727,2.774199623181494,0.7308605797268211,-5.539272826071037,3.062403200621409
2017-08-04,96.995,19.365,-0.31191093499583306,2.7888598615792812,1.1497934873966513,-6.193124679840644,2.6746008387390274
2017-08-07,97.895,19.345,0.3713142289470813,2.774199623181494,1.5889123327346457,-6.891222034952177,2.8545762691583763
2017-08-08,96.665,19.335,-0.5640163912742852,2.766863819270868,1.9463393904051838,-7.43654602736035,1.487273596752245
2017-08-09,97.455,19.335,0.038081378714174295,2.766863819270868,2.227245080991465,-7.861076075851898,1.7366736233217743
2017-08-10,96.245,18.905,-0.8861255310502838,2.4477812742076335,2.3162405905582624,-7.947385348789779,1.391609473611351
2017-08-11,95.27,18.905,-1.639330862409255,2.4477812742076335,2.373841627024026,-7.972797322943972,0.5228213779707245
2017-08-14,97.015,19.095,-0.2966593951405817,2.5896569009830217,2.5170989375924204,-8.168803357998062,1.3537213286642364
2017-08-15,95.655,19.035,-1.340994402994311,2.545007156980058,2.635786952062531,-8.316012392948045,0.26692133267994045
2017-08-16,96.135,18.975,-0.9707197382242425,2.500216450646998,2.7451786821404514,-8.46532895122089,0.6310683119436451
2017-08-17,94.245,18.645,-2.43951939409592,2.2513075321126768,2.8683099652183,-8.636571072992155,-0.260396150233575
2017-08-18,93.555,18.505,-2.9830991439536567,2.1443760852593936,2.9146333874688755,-8.69273778706182,-0.5404314902786691
2017-08-21,94.645,18.565,-2.1262200495185617,2.1903025708365056,2.898940481471694,-8.62586987434613,0.15009303555809872
2017-08-22,94.665,19.025,-2.1105898596297985,2.5375518523171356,2.882685164534136,-8.540542821238652,-0.8850101173018707
2017-08-23,94.785,18.855,-2.0168780106178676,2.410208570979184,2.8503330065683112,-8.469192110902743,-0.4175829422909345
2017-08-24,95.33,19.425,-1.5927576514768331,2.8327499026058924,2.8872571439205252,-8.582473319619968,-1.1891617250959001
2017-08-25,95.885,19.325,-1.1633398369579404,2.7595242203244243,2.84687338950858,-8.52933288935855,-0.49002301814540594
2017-08-28,95.5,19.175,-1.4609592331651475,2.6489721457705513,2.840579498053619,-8.53256743103399,-0.4530077703220883
2017-08-29,96.445,19.225,-0.7325652892419897,2.6859186365647374,2.859367391445187,-8.592990962663226,0.18039750795310994
2017-08-30,96.725,19.175,-0.5181150830612753,2.6489721457705513,2.9474507306970668,-8.804032915191172,0.4782029454823089
2017-08-31,96.82,19.085,-0.44549621146198826,2.582225028394502,3.079631738135524,-9.118673542927656,0.7208751790140546
2017-09-01,96.865,19.365,-0.41112266470997216,2.7888598615792812,3.161666219431577,-9.310308614934186,0.08174193514037498
2017-09-05,95.775,19.235,-1.2482518352334517,2.6932964029541155,3.1644957556293405,-9.314910883539163,-0.4562659874943584
2017-09-06,96.175,19.375,-0.9399470141901007,2.7961843038932597,3.0909686242409697,-9.13680215745504,-0.4460628076642017
2017-09-07,96.205,19.285,-0.9168758691063084,2.730127795516653,3.004996759547117,-8.926111370110092,-0.19478967767327227
2017-09-08,96.825,19.115,-0.4416761396327295,2.6045089771334635,2.941847060862019,-8.76458310182909,0.6608398828275366
2017-09-11,97.975,19.335,0.4317410712683273,2.766863819270868,2.8730873237992847,-8.546494378598991,1.028794084041313
2017-09-12,98.305,19.475,0.6804813474542156,2.8692215022464467,2.7860821909775,-8.284889827474842,0.9714842455505242
2017-09-13,98.625,19.275,0.9208878952546585,2.7227691623397194,2.731529419259389,-8.100067094273284,1.5836309207447545
2017-09-14,99.81,19.465,1.8044011104742774,2.861934679052329,2.6863432218707466,-7.941396861478451,2.057659145443674
2017-09-15,100.995,19.475,2.6774864218795185,2.8692215022464467,2.7671619654060695,-8.096762010280026,2.834647820817912
2017-09-18,102.305,19.595,3.630826257061833,2.9563727020008694,2.8866524563413076,-8.334562662126736,3.43136839709737
2017-09-19,101.55,19.485,3.082883258770238,2.8765045847714066,3.1238342489824698,-8.865798146566139,2.962957866072358
